Unnamed: 0,County,Neighborhood,Room,Saloon,m2,Price,latitude,longitude
897,Pursaklar,Ayyıldız Mahallesi,2.0,1,80,15000,40.0276091,32.8903299
898,Keçiören,Atapark Mahallesi,4.0,1,230,46000,40.007897,32.844849
899,Mamak,Karaağaç Mahallesi,2.0,1,85,17000,39.9371026,32.9224707
900,Keçiören,Ayvalı Mahallesi,5.0,1,200,34500,39.9833642,32.8182536
901,Yenimahalle,Yeni Batı Mahallesi,1.0,1,65,30000,39.9744626,32.6967138
902,Yenimahalle,Kardelen Mahallesi,3.0,1,145,35500,39.9752494,32.705065
903,Çankaya,Yukarı Dikmen Mahallesi,2.0,1,70,34000,39.8553094,32.845662
904,Keçiören,İncirli Mahallesi,3.0,1,120,25000,39.9845847,32.846361
905,Çankaya,İncesu Mahallesi,2.0,1,80,20000,39.9202132,32.8670045
906,Keçiören,Esertepe Mahallesi,3.0,1,115,27500,39.9925408,32.8345423
907,Çankaya,Yaşamkent Mahallesi,1.0,1,45,27000,39.858413,32.6438736
908,Çankaya,İlkbahar Mahallesi,3.0,1,120,39500,39.8621563,32.8585944
909,Mamak,Akşemsettin Mahallesi,3.0,1,140,37000,39.9070655,32.9350097
910,Sincan,Saraycık Mahallesi,2.0,1,90,24000,39.9388091,32.5771045
911,Etimesgut,Yapracık Mahallesi,2.0,1,95,25000,39.865294,32.5817705
912,Yenimahalle,Barış Mahallesi,3.0,1,135,39500,39.9688178,32.7945411
913,Keçiören,Ayvalı Mahallesi,3.0,1,115,21000,39.9833642,32.8182536
914,Çankaya,Oran Mahallesi,3.0,1,115,32000,39.8475718,32.8236051
915,Etimesgut,Topçu Mahallesi,2.0,1,105,25000,39.9544543,32.6162905
916,Çankaya,Konutkent Mahallesi,1.0,1,57,27000,39.877841,32.6679958
917,Çubuk,Dumlupınar Mahallesi,2.0,1,70,16000,40.123616,32.9411226
918,Yenimahalle,Işınlar Mahallesi,3.0,1,140,35000,39.9614347,32.8151396
919,Etimesgut,Tunahan Mahallesi,3.0,1,115,30000,39.9860189,32.6232237
920,Yenimahalle,Yeni Batı Mahallesi,1.0,1,58,24000,39.9744626,32.6967138
921,Çankaya,Alacaatlı Mahallesi,3.0,1,145,87000,39.8478748,32.6747922
922,Gölbaşı,İncek Mahallesi,1.0,1,58,24000,39.8075431,32.6973502
923,Etimesgut,Yeni Bağlıca Mahallesi,2.0,1,118,48000,39.9007102,32.6397785
924,Mamak,Şafaktepe Mahallesi,4.0,1,200,30000,39.9391045,32.8877333
925,Mamak,Akdere Mahallesi,3.0,1,130,21000,39.9210611,32.8858237
926,Mamak,Cengizhan Mahallesi,3.0,1,145,27000,39.9000451,32.9239483
927,Mamak,Mutlu Mahallesi,3.0,1,120,18500,39.906973,32.9037281
928,Çankaya,Emek Mahallesi,3.0,1,110,45000,39.9222107,32.8174961
929,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,140,35000,39.9715857,32.8378467
930,Çankaya,Yukarı Bahçelievler Mahallesi,3.0,1,130,37000,39.9221083,32.8261127
931,Çankaya,Oğuzlar Mahallesi,2.0,1,70,43500,39.9009169,32.8169743
932,Çankaya,Cevizlidere Mahallesi,3.0,1,95,27500,39.8850486,32.8167413
933,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mahallesi,2.0,1,100,33000,39.8739193,32.6878754
934,Altındağ,Gültepe Mahallesi,3.0,1,125,25000,39.9487494,32.8849449
935,Yenimahalle,Beştepe Mahallesi,2.0,1,95,29000,39.9243387,32.812235
936,Çankaya,Emek Mahallesi,3.0,1,100,35000,39.9222107,32.8174961
937,Çankaya,Cebeci Mahallesi,3.0,1,110,20000,39.9325248,32.8781919
938,Çankaya,Yıldızevler Mahallesi,4.0,1,200,42000,39.8764536,32.860692
939,Çankaya,İlkadım Mahallesi,2.0,1,135,38500,39.8813875,32.8408806
940,Gölbaşı,Kızılcaşar Mahallesi,2.0,1,110,60000,39.8227276,32.732967
941,Çankaya,Oran Mahallesi,3.0,1,110,55000,39.8475718,32.8236051
942,Gölbaşı,Taşpınar Mahallesi,1.0,1,45,23000,39.8306678,32.7588042
