,County,Neighborhood,Room,Saloon,m2,Price
458,Çankaya,Kültür Mahallesi,2.0,1,80,28000
459,Çankaya,Remzi Oğuz Arık Mahallesi,1.0,1,45,34500
460,Keçiören,Esertepe Mahallesi,2.0,1,100,16500
461,Çankaya,Kocatepe Mahallesi,3.0,1,110,28000
462,Çankaya,Öveçler Mahallesi,3.0,1,145,37500
463,Etimesgut,Aşağıyurtçu Mahallesi,3.0,1,137,22000
464,Çankaya,Metin Oktay Mahallesi,1.0,1,50,22500
465,Keçiören,Yayla Mahallesi,3.0,1,105,21000
466,Çankaya,İleri Mahallesi,3.0,1,110,24000
467,Sincan,Malazgirt Mahallesi,3.0,1,130,21500
468,Keçiören,Ayvalı Mahallesi,3.0,1,140,24000
469,Şereflikoçhisar,İstiklal Mahallesi,3.0,1,150,18000
470,Keçiören,Aşağı Eğlence Mahallesi,2.0,1,105,22500
471,Etimesgut,İstasyon Mahallesi,2.0,1,100,30000
472,Keçiören,Kalaba Mahallesi,3.0,1,125,23500
473,Çankaya,Maltepe Mahallesi,3.0,1,110,39500
474,Çankaya,Maltepe Mahallesi,3.0,1,170,50000
475,Mamak,Şahintepe Mahallesi,3.0,1,110,18000
476,Keçiören,Esertepe Mahallesi,2.0,1,110,15500
477,Mamak,Şahintepe Mahallesi,3.0,1,110,18000
478,Keçiören,Esertepe Mahallesi,2.0,1,110,15500
479,Keçiören,Ayvalı Mahallesi,3.0,1,120,27500
480,Mamak,Altıağaç Mahallesi,3.0,1,110,30000
481,Keçiören,Karşıyaka Mahallesi,3.0,1,120,19500
482,Pursaklar,Yunus Emre Mahallesi,3.0,1,125,27500
483,Etimesgut,Topçu Mahallesi,5.0,1,240,35000
484,Keçiören,Çaldıran Mahallesi,2.0,1,95,11000
485,Keçiören,İncirli Mahallesi,3.0,1,125,23000
486,Keçiören,İncirli Mahallesi,4.0,1,220,35000
487,Keçiören,İncirli Mahallesi,2.0,1,100,22000
488,Keçiören,Etlik Mahallesi,6.0,2,450,47500
489,Pursaklar,Mimar Sinan Mahallesi,3.0,1,125,25000
490,Sincan,Mustafa Kemal Mahallesi,3.0,1,145,30000
491,Keçiören,Pınarbaşı Mahallesi,4.0,1,130,24000
492,Etimesgut,Ayyıldız Mahallesi,3.0,1,135,35000
493,Etimesgut,Ahi Mesut Mahallesi,3.0,1,140,35000
494,Çankaya,Anıttepe Mahallesi,1.0,1,45,27500
495,Çankaya,Yukarı Bahçelievler Mahallesi,2.0,1,70,53000
496,Çankaya,Şehit Cengiz Karaca Mahallesi,3.0,1,140,29000
497,Çankaya,Huzur Mahallesi,3.0,1,105,26500
498,Mamak,Karaağaç Mahallesi,3.0,1,110,21000
499,Altındağ,Örnek Mahallesi,3.0,1,110,18000
500,Çankaya,Kültür Mahallesi,3.0,1,125,32000
501,Çankaya,Bahçelievler Mahallesi,1.0,1,80,40000
502,Etimesgut,Turkuaz Mahallesi,4.0,1,195,29500
503,Etimesgut,Turkuaz Mahallesi,2.0,1,95,18500
504,Etimesgut,Turkuaz Mahallesi,3.0,1,132,25000
505,Etimesgut,Turkuaz Mahallesi,2.0,1,95,21500
506,Etimesgut,Turkuaz Mahallesi,2.0,1,95,17500
507,Sincan,İstasyon Mahallesi,3.0,1,115,21000
508,Gölbaşı,Gaziosmanpaşa Mahallesi,1.0,1,55,22000
509,Kahramankazan,Atatürk Mahallesi,3.0,1,130,23000
510,Çankaya,Bahçelievler Mahallesi,2.0,1,74,40000
511,Sincan,Mareşal Çakmak Mahallesi,3.0,1,120,20000
512,Çankaya,Şehit Cevdet Özdemir Mahallesi,3.0,1,135,30000
513,Çankaya,Oran Mahallesi,4.0,1,165,100000
514,Çankaya,Oran Mahallesi,4.0,1,175,109000
515,Gölbaşı,İncek Mahallesi,1.0,1,55,17500
516,Keçiören,Pınarbaşı Mahallesi,3.0,1,140,25500
517,Yenimahalle,Karşıyaka Mahallesi,3.0,1,120,25000
518,Etimesgut,Topçu Mahallesi,3.0,1,110,26000
519,Çankaya,Yukarı Bahçelievler Mahallesi,3.0,1,110,40000
520,Çankaya,Yaşamkent Mahallesi,1.0,1,45,25000
521,Çankaya,Yaşamkent Mahallesi,1.0,1,45,23000
522,Etimesgut,Erler Mahallesi,4.0,1,180,60000
523,Çankaya,İşçi Blokları Mahallesi,4.5,1,196,90000
524,Mamak,Abidinpaşa Mahallesi,3.0,1,100,18000
525,Çankaya,Cevizlidere Mahallesi,3.0,0,140,47000
526,Etimesgut,Yeşilova Mahallesi,2.0,1,85,31000
527,Altındağ,Örnek Mahallesi,2.0,1,70,15500
528,Çankaya,İlkbahar Mahallesi,3.0,1,130,96000
529,Çankaya,İlkadım Mahallesi,4.0,1,190,110000
530,Çankaya,İlkbahar Mahallesi,2.0,1,110,46500
531,Mamak,General Zeki Doğan Mahallesi,4.5,1,220,43900
532,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,120,26250
533,Altındağ,Güneşevler Mahallesi,4.0,1,165,41500
534,Etimesgut,Atayurt Mahallesi,3.0,1,118,26000
535,Etimesgut,Atayurt Mahallesi,3.0,1,130,21000
536,Gölbaşı,Karşıyaka Mahallesi,1.0,1,55,25000
537,Çankaya,Gaziosmanpaşa Mahallesi,3.0,1,150,45000
538,Gölbaşı,Bahçelievler Mahallesi,4.0,1,160,29500
539,Keçiören,İncirli Mahallesi,2.0,1,110,15500
540,Çankaya,Öveçler Mahallesi,3.0,1,125,30000
541,Keçiören,Güçlükaya Mahallesi,3.0,1,135,35000
542,Sincan,Tandoğan Mahallesi,5.0,1,230,35000
543,Keçiören,Ufuktepe Mahallesi,3.0,1,125,22500
544,Yenimahalle,Çamlıca Mahallesi,1.0,1,55,30500
545,Yenimahalle,Beştepe Mahallesi,2.0,1,80,27000
546,Keçiören,Atapark Mahallesi,3.0,1,130,21000
547,Çankaya,Sokullu Mehmet Paşa Mahallesi,2.0,1,100,25000
548,Çankaya,Öveçler Mahallesi,2.0,1,95,25000
549,Mamak,Harman Mahallesi,2.0,1,97,17500
550,Polatlı,Şehitlik Mahallesi,3.0,1,145,24000
551,Çankaya,Sağlık Mahallesi,1.0,1,85,15000
552,Sincan,Törekent Mahallesi,4.0,1,180,36000
553,Etimesgut,Atayurt Mahallesi,2.0,1,137,21000
554,Keçiören,Kamil Ocak Mahallesi,2.0,1,95,19000
